"ngram","year","frequency"
"e",2002,0.000187040071371788
"e",2003,0.000185324829154914
"e",2004,0.000183195513922588
"e",2005,0.000178537383492637
"e",2006,0.000172416415547819
"e",2007,0.000169452587475202
"e",2008,0.00016673375128968
"e",2009,0.000163212568233056
"e",2010,0.000159424220328219
"e",2011,0.000155461525927032
"e",2012,0.000151568618353589
"e",2013,0.000149946591201504
"e",2014,0.000153297577136462
"e",2015,0.000157644982599387
"e",2016,0.00015565096483832
"e",2017,0.00013443454476406
"e",2018,0.00011480286983507
"e",2019,9.5255215585764e-05
"e",2020,8.63629563051897e-05
"e",2021,6.60015532048419e-05
"e",2022,3.48488902091049e-05
"f",2000,8.07094620540738e-05
"f",2001,7.93428989709355e-05
"f",2002,7.90740753776239e-05
"f",2003,7.92042337707244e-05
"f",2004,7.76101244680051e-05
"f",2005,7.60013125337926e-05
"f",2006,7.47436944428565e-05
"f",2007,7.31824901387361e-05
"f",2008,7.34510737986836e-05
"f",2009,7.402847924303e-05
"f",2010,7.42213160265237e-05
"f",2011,7.46503210393712e-05
"f",2012,7.40896929138606e-05
"f",2013,7.53473671336126e-05
"f",2014,7.85190921825623e-05
"f",2015,8.22874769385505e-05
"f",2016,8.35866989551245e-05
"f",2017,7.19674072960126e-05
"f",2018,6.13510253190595e-05
"f",2019,5.15967237463753e-05
"f",2020,4.72869117705462e-05
"f",2021,3.8600355037488e-05
"f",2022,2.27165874093771e-05
"g",2000,6.7462635342963e-05
"g",2001,6.70696215820499e-05
"g",2002,6.67299888543009e-05
"g",2003,6.66198840398075e-05
"g",2004,6.57356161225055e-05
"g",2005,6.46321080109504e-05
"g",2006,6.38221125492626e-05
"g",2007,6.28661837254185e-05
"g",2008,6.40984471829142e-05
"g",2009,6.65455876774753e-05
"g",2010,6.78211326885503e-05
"g",2011,6.83656196218051e-05
"g",2012,6.86006039489127e-05
"g",2013,6.94924975895057e-05
"g",2014,6.96186315118601e-05
"g",2015,6.84900307013387e-05
"g",2016,6.61517115077004e-05
"g",2017,5.54534157605043e-05
"g",2018,4.60324226878583e-05
"g",2019,3.71699674620426e-05
"g",2020,3.24517689781108e-05
"g",2021,2.64033558778465e-05
"g",2022,1.64483935805038e-05
"h",2000,5.40220407856395e-05
"h",2001,5.35328239493538e-05
"h",2002,5.3404239830949e-05
"h",2003,5.2807430100594e-05
"h",2004,5.21176126702423e-05
"h",2005,5.10878630198671e-05
"h",2006,5.00102786255801e-05
"h",2007,4.84699687928826e-05
"h",2008,4.81567725988238e-05
"h",2009,4.90845185205606e-05
"h",2010,4.96750102943874e-05
"h",2011,4.98259282072208e-05
"h",2012,4.97454358472688e-05
"h",2013,5.07937636159893e-05
"h",2014,5.22728597778561e-05
"h",2015,5.32446049744197e-05
"h",2016,5.25773508083408e-05
"h",2017,4.49544916461621e-05
"h",2018,3.7881604969568e-05
"h",2019,3.12637327754471e-05
"h",2020,2.77315915203265e-05
"h",2021,2.2154112230055e-05
"h",2022,1.36461903821328e-05
"i",2000,0.000176402187207714
"i",2001,0.000175523333018646
"i",2002,0.000176172228141998
"i",2003,0.00017616173967586
"i",2004,0.000176291686200005
"i",2005,0.000176388597797735
"i",2006,0.000176239908406777
"i",2007,0.000175755903390901
"i",2008,0.000176371888041363
"i",2009,0.000175922167337766
"i",2010,0.000176273635588586
"i",2011,0.000175751805987342
"i",2012,0.000172110542605099
"i",2013,0.000173018259894369
"i",2014,0.000180959092436491
"i",2015,0.000192412948568485
"i",2016,0.000195156880571241
"i",2017,0.000169648439623415
"i",2018,0.000145500041461284
"i",2019,0.000123451619791532
"i",2020,0.000113963074303077
"i",2021,9.03945969184861e-05
"i",2022,4.88690457132179e-05
"j",2000,2.90269767901918e-05
"j",2001,2.90376894554356e-05
"j",2002,2.92054364763317e-05
"j",2003,2.95415258213844e-05
"j",2004,2.99674289375876e-05
"j",2005,3.09981013353016e-05
"j",2006,3.17255700273173e-05
"j",2007,3.21193557673333e-05
"j",2008,3.25825021718629e-05
"j",2009,3.28449558375204e-05
"j",2010,3.35054178971664e-05
"j",2011,3.39835252296845e-05
"j",2012,3.39278303727042e-05
"j",2013,3.62114390424852e-05
"j",2014,3.90715306691293e-05
"j",2015,4.25204364416589e-05
"j",2016,4.56971907364537e-05
"j",2017,4.05284341208504e-05
"j",2018,3.53789109794889e-05
"j",2019,3.01966699355814e-05
